Product Name,Article Number,Product Description,Designer,Number of Ratings,Overall Rating,Product Department,Product Subfunction,Number of Packages,Package Width,Package Height,Package Length,Package Weight
LAGAN,803.526.30,This freestanding fridge with freezer compartment has all the basic functions you need. The small size is ideal for small-sized kitchens. The adjustable shelves allow you to adapt the space inside.,IKEA of Sweden,3,3.7,Dining,Free-standing,1,62 cm,57 cm,87 cm,31.80 kg
LAGAN,603.779.24,"It may be small on the outside but on the inside there are 3 adjustable shelves so you can customize the space, and the freezer volume is 4 cubic feet – which translates into a lot of space for ice cream.",IKEA of Sweden,2,2,Dining,Free-standing,1,87 cm,75 cm,164 cm,72.60 kg
NUTID S25,903.778.90,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,na,See Reviews,Dining,Free-standing,1,97 cm,88 cm,180 cm,120.70 kg
TILLREDA,103.432.34,"A small refrigerator for a small-sized kitchen. Also handy in the den, basement, guest house, dorm room, or wherever you may want quick access to a beverage or snack.",IKEA of Sweden,4,5,Dining,Free-standing,1,52 cm,47 cm,52 cm,15.80 kg
TRONES,803.973.13,"Combine as many cabinets as you like and use the top surface to unload your wallet, cell phone or keys. It’s shallow and takes up little space – a practical solution in smaller entrances or hallways.",Richard Clack,7,4.6,Dining,Shoe cabinets,1,52 cm,19 cm,78 cm,5.31 kg
HEMNES,203.817.63,Helps you organize your shoes and saves floor space at the same time.,K Hagberg/M Hagberg,19,4.9,Dining,Shoe cabinets,1,36 cm,9 cm,128 cm,15.00 kg
HEMNES,303.817.53,Helps you organize your shoes and saves floor space at the same time.,K Hagberg/M Hagberg,5,4.4,Dining,Shoe cabinets,1,38 cm,16 cm,112 cm,20.25 kg
PINNIG,003.297.90,"Plenty of hanging possibilities for your jackets, bags and accessories. Combines perfectly with PINNIG shoe bench and if you need more hooks, simply mount two or more racks in a row.",Ebba Strandmark,7,4.6,Dining,Hooks,1,13 cm,5 cm,81 cm,1.88 kg
BISSA,502.427.37,Helps you organize your shoes and saves floor space at the same time.,Sarah Fager,31,4.4,Dining,Shoe cabinets,1,43 cm,8 cm,93 cm,15.40 kg
BISSA,902.484.26,Helps you organize your shoes and saves floor space at the same time.,Sarah Fager,50,4.6,Dining,Shoe cabinets,1,43 cm,8 cm,93 cm,15.40 kg
BISSA,502.484.28,Helps you organize your shoes and saves floor space at the same time.,Sarah Fager,49,4.5,Dining,Shoe cabinets,1,43 cm,8 cm,135 cm,21.70 kg
BRUSALI,702.676.04,Helps you organize your shoes and saves floor space at the same time.,IKEA of Sweden,27,3.9,Dining,Shoe cabinets,1,38 cm,12 cm,142 cm,28.50 kg
BRUSALI,202.676.06,Helps you organize your shoes and saves floor space at the same time.,IKEA of Sweden,47,3.8,Dining,Shoe cabinets,1,38 cm,12 cm,142 cm,28.50 kg
GREJIG,403.298.68,"Just as practical for everyday shoes in the hallway as for fancy shoes in the wardrobe. And since the rack is foldable, you can have some extra racks in the hallway closet that you can unfold and stack when you have guests.",IKEA of Sweden,17,4.6,Dining,Shoe cabinets,1,27 cm,3 cm,58 cm,0.79 kg
HEMNES,702.458.72,"Have a seat while putting on your shoes. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",Carina Bengs,29,4.8,Dining,Shoe cabinets,1,37 cm,11 cm,87 cm,8.89 kg
HEMNES,002.438.00,"Have a seat while putting on your shoes. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",Carina Bengs,21,4.8,Dining,"Shoe, coat & hat racks",1,36 cm,11 cm,86 cm,10.49 kg
HEMNES,402.169.08,"A place to organize and store all your shoes, making life on the go a little easier. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",K Hagberg/M Hagberg,33,4.6,Dining,Shoe cabinets,1,36 cm,9 cm,128 cm,15.00 kg
HEMNES,201.695.59,"A place to organize and store all your shoes, making life on the go a little easier. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",K Hagberg/M Hagberg,54,4.7,Dining,Shoe cabinets,1,36 cm,9 cm,129 cm,19.20 kg
HEMNES,801.561.20,"A place to organize and store all your shoes, making life on the go a little easier. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",K Hagberg/M Hagberg,21,4.7,Dining,Shoe cabinets,1,38 cm,16 cm,112 cm,20.00 kg
HEMNES,601.561.21,"A place to organize and store all your shoes, making life on the go a little easier. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",K Hagberg/M Hagberg,26,4.8,Dining,Shoe cabinets,1,38 cm,16 cm,110 cm,26.80 kg
MACKAPÄR,503.347.51,"Keeps shoes handy but out of sight. If you have lots of shoes, stack two units on top of each other. MACKAPÄR series helps keep your entrance organized – you’ll be thankful every time you’re in a hurry.",Eva Lilja Löwenhielm,32,4.1,Dining,Shoe cabinets,1,40 cm,17 cm,91 cm,28.40 kg
OMSORG,600.375.38,Helps shoes keep their shape.,IKEA of Sweden,30,3.4,Dining,Shoe cabinets,1,8 cm,5 cm,37 cm,0.15 kg
OMSORG,404.212.30,,K Hagberg/M Hagberg,17,4.8,Dining,Shoe cabinets,1,7 cm,5 cm,61 cm,0.09 kg
TJUSIG,501.527.03,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,32,4.8,Dining,Shoe cabinets,1,44 cm,8 cm,114 cm,14.53 kg
TJUSIG,701.527.02,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,21,4.8,Dining,Shoe cabinets,1,44 cm,8 cm,114 cm,14.53 kg
TJUSIG,201.526.34,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,6,4.7,Dining,"Shoe, coat & hat racks",1,16 cm,4 cm,79 cm,2.86 kg
TJUSIG,401.526.33,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,3,4.7,Dining,Shoe cabinets,1,16 cm,4 cm,79 cm,2.86 kg
TJUSIG,301.526.38,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,27,4.7,Dining,Shoe cabinets,1,23 cm,4 cm,80 cm,4.20 kg
TJUSIG,101.526.39,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,66,4.5,Dining,Shoe cabinets,1,23 cm,4 cm,80 cm,4.20 kg
TRONES,003.973.07,"Combine as many cabinets as you like and use the top surface to unload your wallet, cell phone or keys. It’s shallow and takes up little space – a practical solution in smaller entrances or hallways.",Richard Clack,19,4.8,Dining,Shoe cabinets,1,52 cm,19 cm,78 cm,5.31 kg
LANGUR,603.526.50,The padded material relieves pressure on the child’s body and is soft and comfortable to sit on and lean against.,Chenyi Ke,4,4.8,Dining,High chairs,1,21 cm,5 cm,24 cm,0.22 kg
ANTILOP,501.975.70,"Raised edge prevents spills from ending up on the floor.
								                                                                                          
								We know that children's skin is extra sensitive, but not to worry. This product has been tested, approved and is completely free from substances that may harm your child's skin or health.",IKEA of Sweden,51,4.2,Dining,High chairs,1,42 cm,4 cm,42 cm,0.67 kg
LANGUR,003.308.16,"We know that children's skin is extra sensitive, but not to worry. This product has been tested, approved and is completely free from substances that may harm your child's skin or health.",J Fritzdorf/J Feldman/J Hedberg,na,See Reviews,Dining,High chairs,1,42 cm,4 cm,44 cm,1.00 kg
KLÄMMIG,603.730.92,With this inflatable pillow your child gets soft support that helps them sit comfortably at the dining table.,Jennifer Idrizi,13,4.4,Dining,High chairs,1,21 cm,4 cm,31 cm,0.23 kg
BLÅMES,101.690.03,Even the youngest family member needs a seat at the table. Our high chairs go through the toughest safety testing in the world so you can be sure your child is sitting safe and secure. Enjoy your meal!,Tina Christensen,5,3,Dining,High chairs,1,54 cm,10 cm,97 cm,7.72 kg
NUTID,501.826.20,"Induction makes it quick, energy-efficient and lets you cook with precision. The power booster feature is ideal for boiling water, stir-frying or searing meat. The surface is smooth and easy to wipe clean.",Mikael Warnhammar,14,3.1,Dining,Induction cooktops,1,65 cm,19 cm,88 cm,23.00 kg
ELDIG,202.887.03,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,na,See Reviews,Dining,Gas cooktops,1,64 cm,18 cm,91 cm,17.00 kg
FRAMTID,402.887.02,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,3,3,Dining,Gas cooktops,1,64 cm,30 cm,88 cm,25.00 kg
FRAMTID,602.887.01,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,10,2.7,Dining,Gas cooktops,1,64 cm,30 cm,88 cm,27.00 kg
ELDIG,102.886.90,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,3,2,Dining,Glass ceramic cooktop,1,64 cm,23 cm,89 cm,20.40 kg
NUTID,702.886.92,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,5,4,Dining,Glass ceramic cooktop,1,64 cm,23 cm,89 cm,20.40 kg
NUTID,502.886.93,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,9,2.9,Dining,Glass ceramic cooktop,1,64 cm,23 cm,89 cm,20.40 kg
NUTID,902.886.91,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,1,5,Dining,Glass ceramic cooktop,1,64 cm,24 cm,89 cm,20.40 kg
NYTTIG,802.906.75,You can use the cooktop separator to install a drawer under the cooktop and get a handy space for your cooking utensils.,IKEA of Sweden,na,See Reviews,Dining,Shelves & drawers,1,9 cm,1 cm,90 cm,0.61 kg
NYTTIG,602.906.76,You can use the cooktop separator to install a drawer under the cooktop and get a handy space for your cooking utensils.,IKEA of Sweden,2,2,Dining,Induction cooktops,1,9 cm,1 cm,80 cm,0.55 kg
TILLREDA,103.437.76,It’s perfect for smaller kitchens or wherever you need an extra cooking zone. It’s easy to move around and can be stowed away when not in use to free up counter space for other activities.,Klara Petersen,56,4.1,Dining,Induction cooktops,1,35 cm,8 cm,45 cm,3.55 kg
TJUSIG,101.526.39,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,66,4.5,Dining,Shoe cabinets,1,23 cm,4 cm,80 cm,4.20 kg
BAGGMUCK,603.297.11,"Using a shoe mat protects your floor from dirt and gravel.
								                                                                                          
								Makes cleaning under shoe racks and in storage cabinets easier, just take it out and wipe it off.",IKEA of Sweden,165,4.9,Dining,"Shoe, coat & hat racks",1,35 cm,3 cm,71 cm,0.51 kg
GREJIG,403.298.68,"Just as practical for everyday shoes in the hallway as for fancy shoes in the wardrobe. And since the rack is foldable, you can have some extra racks in the hallway closet that you can unfold and stack when you have guests.",IKEA of Sweden,17,4.6,Dining,Shoe cabinets,1,27 cm,3 cm,58 cm,0.79 kg
EKRAR,104.155.94,,Inma Bermudez,10,4.4,Dining,Racks & stands,1,17 cm,7 cm,99 cm,2.94 kg
PINNIG,803.297.91,Why not have a seat and be comfortable while putting your shoes on or waiting for someone else to get ready? Combine with PINNIG hook rack for a complete storage solution for both shoes and clothes.,Ebba Strandmark,24,4.9,Dining,"Shoe, coat & hat racks",1,36 cm,11 cm,82 cm,11.56 kg
PINNIG,203.297.89,"This clever solution is a coat rack, shoe storage and bench all in one piece. You can sit comfortably while putting on your shoes and everything is handy when you’re in a hurry.",Ebba Strandmark,68,4.9,Dining,Racks & stands,1,45 cm,7 cm,148 cm,20.14 kg
HEMNES,403.817.43,,IKEA of Sweden,2,5,Dining,"Shoe, coat & hat racks",1,39 cm,5 cm,90 cm,5.92 kg
HEMNES,903.817.50,,IKEA of Sweden,18,4.9,Dining,"Shoe, coat & hat racks",1,37 cm,11 cm,87 cm,8.26 kg
MACKAPÄR,203.362.33,Use one or use several and stack them on top of each other to save floor space. MACKAPÄR series has everything you need to keep your entrance organized – you’ll be thankful every time you’re in a hurry.,Eva Lilja Löwenhielm,38,4.9,Dining,"Shoe, coat & hat racks",1,33 cm,9 cm,80 cm,5.30 kg
MACKAPÄR,703.347.50,"With hooks and shelves, you can store coats, hats, scarves and bags. MACKAPÄR series has everything you need to keep your entrance organized – you’ll be thankful every time you’re in a hurry.",Eva Lilja Löwenhielm,8,5,Dining,"Shoe, coat & hat racks",1,33 cm,9 cm,79 cm,6.07 kg
MACKAPÄR,103.347.53,This clever storage doubles as a bench so you can sit down while putting on your shoes. MACKAPÄR series helps keep your entrance organized – you’ll be thankful every time you’re in a hurry.,Eva Lilja Löwenhielm,16,3.9,Dining,"Shoe, coat & hat racks",1,38 cm,13 cm,105 cm,23.50 kg
MACKAPÄR,503.347.51,"Keeps shoes handy but out of sight. If you have lots of shoes, stack two units on top of each other. MACKAPÄR series helps keep your entrance organized – you’ll be thankful every time you’re in a hurry.",Eva Lilja Löwenhielm,32,4.1,Dining,Shoe cabinets,1,40 cm,17 cm,91 cm,28.40 kg
MACKAPÄR,303.347.52,Everything you need for storing your shoes and clothes in one piece of furniture. MACKAPÄR series helps keep your entrance organized – you’ll be thankful every time you’re in a hurry.,Eva Lilja Löwenhielm,15,4.5,Dining,Racks & stands,1,33 cm,13 cm,79 cm,12.38 kg
BRYGGJA,304.219.09,"Smooth running drawers with pull-out stop.
								                                                                                          
								You get a good overview and can easily reach your clothes.",Ola Wihlborg,4,2.8,Dining,Racks & stands,1,24 cm,13 cm,121 cm,15.40 kg
HEMNES,702.458.72,"Have a seat while putting on your shoes. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",Carina Bengs,29,4.8,Dining,Shoe cabinets,1,37 cm,11 cm,87 cm,8.89 kg
HEMNES,002.438.00,"Have a seat while putting on your shoes. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",Carina Bengs,21,4.8,Dining,"Shoe, coat & hat racks",1,36 cm,11 cm,86 cm,10.49 kg
HEMNES,102.458.70,"Easy storage for your outdoor wear making life on the go a little easier. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",Carina Bengs,6,4.3,Dining,"Shoe, coat & hat racks",1,39 cm,5 cm,90 cm,5.92 kg
HEMNES,602.437.98,"Easy storage for your outdoor wear making life on the go a little easier. The simple, classical design with a touch of tradition looks great with other furniture in the HEMNES series.",Carina Bengs,6,4.5,Dining,"Shoe, coat & hat racks",1,39 cm,5 cm,90 cm,6.97 kg
OMSORG,600.375.38,Helps shoes keep their shape.,IKEA of Sweden,30,3.4,Dining,Shoe cabinets,1,8 cm,5 cm,37 cm,0.15 kg
OMSORG,404.212.30,,K Hagberg/M Hagberg,17,4.8,Dining,Shoe cabinets,1,7 cm,5 cm,61 cm,0.09 kg
PINNIG,003.297.90,"Plenty of hanging possibilities for your jackets, bags and accessories. Combines perfectly with PINNIG shoe bench and if you need more hooks, simply mount two or more racks in a row.",Ebba Strandmark,7,4.6,Dining,Hooks,1,13 cm,5 cm,81 cm,1.88 kg
STÄLL,501.780.91,Helps you organize your shoes and saves floor space at the same time.,Sarah Fager,18,3.9,Dining,"Shoe, coat & hat racks",1,34 cm,10 cm,140 cm,17.80 kg
STÄLL,801.695.61,Helps you organize your shoes and saves floor space at the same time.,Sarah Fager,17,4.3,Dining,"Shoe, coat & hat racks",1,31 cm,11 cm,139 cm,23.35 kg
STÄLL,701.781.70,Helps you organize your shoes and saves floor space at the same time.,Sarah Fager,36,4.5,Dining,"Shoe, coat & hat racks",1,38 cm,14 cm,103 cm,18.95 kg
STÄLL,901.781.74,Helps you organize your shoes and saves floor space at the same time.,Sarah Fager,15,4.6,Dining,"Shoe, coat & hat racks",1,38 cm,13 cm,100 cm,21.90 kg
SUNDLANDET,804.219.16,"Get ready, grab your things and check your hair one last time in the mirror. This open storage keeps clothes, jackets, brushes and accessories in one place, to make life easier when you are on the go.",Ola Wihlborg,na,See Reviews,Dining,Racks & stands,1,43 cm,7 cm,189 cm,26.17 kg
TJUSIG,201.526.34,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,6,4.7,Dining,"Shoe, coat & hat racks",1,16 cm,4 cm,79 cm,2.86 kg
TJUSIG,401.526.33,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,3,4.7,Dining,Shoe cabinets,1,16 cm,4 cm,79 cm,2.86 kg
TJUSIG,301.526.38,"TJUSIG series helps you get your jackets, hats, accessories and shoes organized. The clean, simple design made from sustainably sourced solid wood is easy to place and easy to like.",Henrik Preutz,27,4.7,Dining,Shoe cabinets,1,23 cm,4 cm,80 cm,4.20 kg
MALINMARIA,604.262.60,Playful dots on one side and solid stripes on the other – the more of these cushions on your sofa or bed the cozier. MALINMARIA cushion cover looks great with the smaller cushion in the same series.,Maria Vinka,na,See Reviews,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.18 kg
LISANN,504.019.05,The zipper makes the cover easy to remove.,,34,4.7,Dining,Cushion covers,1,26 cm,3 cm,51 cm,0.28 kg
LISANN,504.286.17,The zipper makes the cover easy to remove.,,12,5,Dining,Cushion covers,1,26 cm,3 cm,51 cm,0.28 kg
SKOLD,402.728.76,"Wool is soil-repellent and durable.
								                                                                                          
								Choose between a feather- or polyester-filled inner cushion.",,26,4.9,Dining,Cushion covers,1,50 cm,5 cm,50 cm,0.60 kg
SKOLD,002.728.78,"Wool is soil-repellent and durable.
								                                                                                          
								The zipper makes the cover easy to remove.",,16,4.6,Dining,Cushion covers,1,50 cm,5 cm,50 cm,0.60 kg
JUNHILD,304.167.57,"Your home is your castle and JUNHILD cushion cover with tartan pattern makes it warm and cozy. Dare to mix with other colors and patterns – like INGERILSE cushion cover, for a bolder look.",Inga Leo,10,4.9,Dining,Cushion covers,1,18 cm,2 cm,22 cm,0.21 kg
SARALENA,904.176.93,A playful magic garden expressed with rich colors that stand out against the dark soft cotton velvet. The back is just as soft as the front but in a contrasting color for variety.,Malin Gyllensvaan,3,5,Dining,Cushions,1,50 cm,10 cm,50 cm,0.52 kg
RÖDPLISTER,403.774.68,"You can easily vary the look, because the two sides have different designs.",IKEA of Sweden,4,4.5,Dining,Cushions,1,50 cm,12 cm,50 cm,0.55 kg
SANELA,404.167.52,"Lush, cotton velvet that’s soft to the touch. We update the colors regularly so you are sure to find a favorite that you can match with other solid-color SANELA velvet cushions and curtains or patterned cushions.",IKEA of Sweden,5,4.2,Dining,Cushion covers,1,19 cm,3 cm,22 cm,0.18 kg
SANELA,603.436.46,"Lush, cotton velvet that’s soft to the touch. We update the colors regularly so you are sure to find a favorite that you can match with other solid-color SANELA velvet cushions and curtains or patterned cushions.",IKEA of Sweden,27,4.6,Dining,Cushion covers,1,18 cm,2 cm,22 cm,0.16 kg
VIGDIS,603.958.24,Cover is made of ramie; a hard-wearing and absorbent natural material.,IKEA of Sweden,4,5,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.21 kg
INNEHÅLLSRIK,904.038.65,"This product is handmade by skilled female artisans in Uttar Pradesh, an area in Northern India. The production creates long-term livelihood and a more secure future for them and their children.",Sarah Fager,na,See Reviews,Dining,Cushion covers,1,18 cm,2 cm,22 cm,0.18 kg
INNEHÅLLSRIK,104.038.50,"This product is handmade by skilled female artisans in Uttar Pradesh, an area in Northern India. The production creates long-term livelihood and a more secure future for them and their children.",Sarah Fager,na,See Reviews,Dining,Cushion covers,1,18 cm,3 cm,22 cm,0.18 kg
OTTIL,303.623.87,"Jacquard weave gives the cushion cover a pattern with a subtle, slightly raised relief.",Synnöve Mork,32,4.7,Dining,Cushion covers,1,18 cm,3 cm,22 cm,0.20 kg
SÖTHOLMEN,503.940.14,Add color and character to your outdoor space with SÖTHOLMEN cushion cover. It’s handmade by skilled craftsmen and dyed in a more sustainable way ‒ also making the color last longer.,IKEA of Sweden,3,5,Dining,Cushions,1,18 cm,9 cm,27 cm,1.13 kg
GULLINGEN,303.940.48,You can personalize your outdoor sofa with GULLINGEN cushion cover. The fabric is made from recycled PET bottles and dyed in a more sustainable way – also making the color’s freshness last longer.,IKEA of Sweden,1,5,Dining,Cushions,1,18 cm,3 cm,21 cm,0.23 kg
LEIKNY,404.108.11,The expressive floral pattern is rich in detail and comes alive with its bright colors against the dark background. LEIKNY cushion cover is a perfect match with EKTORP seating in the same fabric cover.,IKEA of Sweden,8,5,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.19 kg
SANELA,404.167.47,"Lush, cotton velvet that’s soft to the touch. We update the colors regularly so you are sure to find a favorite that you can match with other solid-color SANELA velvet cushions and curtains or patterned cushions.",IKEA of Sweden,3,4.7,Dining,Cushion covers,1,19 cm,3 cm,22 cm,0.18 kg
INGERILSE,104.167.58,"Your home is your castle and INGERILSE cushion cover with tartan pattern makes it warm and cozy. Dare to mix with other colors and patterns – like JUNHILD cushion cover, for a bolder look.",IKEA of Sweden,2,5,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.21 kg
SANELA,103.210.29,"Lush, cotton velvet that’s soft to the touch. We update the colors regularly so you are sure to find a favorite that you can match with other solid-color SANELA velvet cushions and curtains or patterned cushions.",IKEA of Sweden,11,4.7,Dining,Cushion covers,1,18 cm,2 cm,22 cm,0.16 kg
SVARTHÖ,304.094.98,"This cushion cover takes a spin into the 60’s with its graphic pattern in colors that bring harmony. It’s jacquard-woven, meaning the design is woven into the fabric, giving it a nice, thick texture.",Ida Pettersson Preutz,5,4.8,Dining,Cushion covers,1,18 cm,4 cm,22 cm,0.34 kg
SANELA,603.701.64,"Lush, cotton velvet that’s soft to the touch. We update the colors regularly so you are sure to find a favorite that you can match with other solid-color SANELA velvet cushions and curtains or patterned cushions.",IKEA of Sweden,13,4.8,Dining,Cushion covers,1,18 cm,2 cm,22 cm,0.16 kg
YPPERLIG,503.463.82,"The zipper makes the cover easy to remove.
								                                                                                          
								Easy to keep clean since it is machine washable.",HAY,2,4.5,Dining,Cushion covers,1,18 cm,3 cm,22 cm,0.17 kg
SÖTHOLMEN,903.940.31,Add color and character to your outdoor space with SÖTHOLMEN cushion cover. It’s handmade by skilled craftsmen and dyed in a more sustainable way ‒ also making the color last longer.,IKEA of Sweden,na,See Reviews,Dining,Cushions,1,18 cm,9 cm,27 cm,1.13 kg
ULLKAKTUS,902.673.73,ULLKAKTUS cushion comes in pretty pastels and other gentle tones that bring a sense of calm and simplicity to your room. The soft and resilient filling provides good support for your neck and back.,IKEA of Sweden,19,4.5,Dining,Cushions,1,50 cm,20 cm,53 cm,0.37 kg
GURLI,602.811.44,A popular cushion cover that’s easy to mix and match with other solid-colored or patterned cushions. Available in many colors – choose your favorite. Made of cotton from more sustainable sources.,IKEA of Sweden,9,4.6,Dining,Cushion covers,1,18 cm,2 cm,22 cm,0.19 kg
VIGDIS,303.201.37,"Made of 100% ramie, a plant from the nettle family. Fortunately the fabric doesn’t sting. It’s soft, durable and has the same feel as linen. Available in several colors – choose one or mix.",IKEA of Sweden,6,4.7,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.18 kg
RIDDARFJÄRIL,902.778.19,The zipper makes the cover easy to remove.,,15,4.6,Dining,Cushion covers,1,19 cm,6 cm,23 cm,0.31 kg
EVALINN,904.289.41,"Wool is stain-repellent, durable and provides good insulation.",IKEA of Sweden,1,5,Dining,Cushion covers,1,50 cm,3 cm,50 cm,0.50 kg
DORTHE,103.838.47,The duck feather filling feels fluffy and gives your body excellent support.,IKEA of Sweden,8,4.6,Dining,Cushions,1,50 cm,13 cm,50 cm,1.07 kg
SANELA,004.167.49,"Lush, cotton velvet that’s soft to the touch. We update the colors regularly so you are sure to find a favorite that you can match with other solid-color SANELA velvet cushions and curtains or patterned cushions.",IKEA of Sweden,1,5,Dining,Cushion covers,1,19 cm,2 cm,22 cm,0.16 kg
VIGDIS,503.265.29,"Made of 100% ramie, a plant from the nettle family. Fortunately the fabric doesn’t sting. It’s soft, durable and has the same feel as linen. Available in several colors – choose one or mix.",IKEA of Sweden,22,4.4,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.18 kg
BOKARV,203.321.93,The zipper makes the cover easy to remove.,,8,4.9,Dining,Cushion covers,1,50 cm,1 cm,50 cm,0.50 kg
AINA,704.095.09,The ribbon tie detail on the back softens the expression of the rougher linen. The front is nice and smooth so you can vary the different looks. A timeless appeal that adds a romantic touch to the room.,IKEA of Sweden,3,5,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.18 kg
MAYLINN,304.175.11,"You can easily vary the look, because the two sides have different designs.",IKEA of Sweden,4,5,Dining,Cushion covers,1,18 cm,2 cm,22 cm,0.19 kg
EVALINN,004.210.48,"Wool is stain-repellent, durable and provides good insulation.",IKEA of Sweden,2,5,Dining,Cushion covers,1,50 cm,3 cm,50 cm,0.50 kg
HÖSTANEMON,503.715.26,The zipper makes the cover easy to remove.,Synnöve Mork,9,4.8,Dining,Cushion covers,1,19 cm,2 cm,22 cm,0.21 kg
AINA,704.025.84,The ribbon tie detail on the back softens the expression of the rougher linen. The front is nice and smooth so you can vary the different looks. A timeless appeal that adds a romantic touch to the room.,IKEA of Sweden,2,5,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.18 kg
GULLKLOCKA,703.166.85,"Chenille fabric feels ultra soft against your skin.
								                                                                                          
								The zipper makes the cover easy to remove.",,18,4.9,Dining,Cushion covers,1,18 cm,4 cm,22 cm,0.26 kg
GULLKLOCKA,602.917.51,The fabric feels nice and soft. This classic cushion cover is available in several colors so you can match with your new things or with the look you have at home.,IKEA of Sweden,19,4.8,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.17 kg
SVARTHÖ,703.365.94,"This cushion cover takes a spin into the 60’s with its graphic pattern in colors that bring harmony. It’s jacquard-woven, meaning the design is woven into the fabric, giving it a nice, thick texture.",Ida Pettersson Preutz,21,4.9,Dining,Cushion covers,1,18 cm,4 cm,22 cm,0.34 kg
EVALINN,104.289.40,"Wool is stain-repellent, durable and provides good insulation.",IKEA of Sweden,1,5,Dining,Cushion covers,1,50 cm,3 cm,50 cm,0.50 kg
EVALINN,704.289.42,"Wool is stain-repellent, durable and provides good insulation.",IKEA of Sweden,1,4,Dining,Cushion covers,1,50 cm,3 cm,50 cm,0.50 kg
GULLINGEN,103.940.54,You can personalize your outdoor sofa with GULLINGEN cushion cover. The fabric is made from recycled PET bottles and dyed in a more sustainable way – also making the color’s freshness last longer.,IKEA of Sweden,na,See Reviews,Dining,Cushions,1,18 cm,3 cm,21 cm,0.23 kg
JERLEV,304.067.44,"Wool is soil-repellent and durable.
								                                                                                          
								The zipper makes the cover easy to remove.",,na,See Reviews,Dining,Cushion covers,1,50 cm,0 cm,50 cm,0.46 kg
JERLEV,004.067.45,"Wool is soil-repellent and durable.
								                                                                                          
								The zipper makes the cover easy to remove.",,na,See Reviews,Dining,Cushion covers,1,50 cm,0 cm,50 cm,0.46 kg
VIGDIS,202.617.32,"Made of 100% ramie, a plant from the nettle family. Fortunately the fabric doesn’t sting. It’s soft, durable and has the same feel as linen. Available in several colors – choose one or mix.",IKEA of Sweden,6,4.5,Dining,Cushion covers,1,18 cm,2 cm,21 cm,0.18 kg
OTTIL,003.623.84,"Jacquard weave gives the cushion cover a pattern with a subtle, slightly raised relief.",Synnöve Mork,8,4.9,Dining,Cushion covers,1,18 cm,3 cm,22 cm,0.20 kg
